Hand,2,3,4,5,6,7,8,9,10,A
S20,S,S,S,S,S,S,S,S,S,S
S19,S,S,D(3+)S,D(1+)S,S(0-)DS,S,S,S,S,S
S18,DS,DS,DS,DS,DS,S,S,H,H,H
S17,H,D,D,D,D,H,H,H,H,H
S16,H,H,D,D,D,H,H,H,H,H
S15,H,H,D,D,D,H,H,H,H,H
S14,H,H,H,D,D,H,H,H,H,H
S13,H,H,H,D,D,H,H,H,H,H
S12,YH,YH,YS,YS,YS,YH,YH,YH,YH,YH
20,S,S,Y(6+)S,Y(5+)S,Y(4+)S,S,S,S,S,S
19,S,S,S,S,S,S,S,S,S,S
18,YS,YS,YS,YS,YS,S,YS,YS,S,S
17,S,S,S,S,S,S,S,S,S,US
16,YS,YS,YS,YS,YS,YH,YU(4+)H,YU(-1+)S(4+)H,YUS(0+)H,UYS(3+)H
15,S,S,S,S,S,H,H,U(2+)H,U(0+)S(4+)H,U(-1+)S(5+)H
14,YS,YS,YS,YS,YS,YH,H,H,H,H
13,H(-1-)S,S,S,S,S,H,H,H,H,H
12,/S(3+)H,YS(2+)H,YH(0-)S,YS,YS,H,H,H,H,H
11,D,D,D,D,D,D,D,D,D,D
10,D,D,D,D,D,D,D,D,D(4+)H,D(3+)H
9,D(1+)H,D,D,D,D,D(3+)H,H,H,H,H
8,H,H,H,/H,/D(2+)H,H,H,H,H,H
7,H,H,H,H,H,H,H,H,H,H
6,/H,/H,YH,YH,YH,YH,H,H,H,H
5,H,H,H,H,H,H,H,H,H,H
4,/H,/H,YH,YH,YH,YH,H,H,H,H
